"Unicode.Code.Point.s.","Emoji","Description","Translated"
"U+1F636 U+200D U+1F32B U+FE0F","😶‍🌫️","Face In Clouds","Bulutlardaki Yüz"
"U+1F60F","😏","Smirking Face","Sırıtan Yüz"
"U+1F612","😒","Unamused Face","Eğlenmeyen Yüz"
"U+1F644","🙄","Face With Rolling Eyes","Dönen Gözlerle Yüz"
"U+1F62C","😬","Grimacing Face","Yüz ekşitmeden"
"U+1F62E U+200D U+1F4A8","😮‍💨","Face Exhaling","Yüz Nefes Verme"
"U+1F925","🤥","Lying Face","Yalan Yüz"
"U+1FAE8","🫨","Shaking Face","Yüz sallayarak"
"U+1F60C","😌","Relieved Face","Rahatlamış Yüz"
"U+1F614","😔","Pensive Face","Dalgın Yüz"
"U+1F62A","😪","Sleepy Face","Uykulu yüz"
"U+1F924","🤤","Drooling Face","Salya akan yüz"
"U+1F634","😴","Sleeping Face","Uyuyan Yüz"
"U+1F637","😷","Face With Medical Mask","Tıbbi Maskeli Yüz"
"U+1F912","🤒","Face With Thermometer","Termometreli Yüz"
"U+1F915","🤕","Face With Head-Bandage","Baş Bandajlı Yüz"
"U+1F922","🤢","Nauseated Face","Midesi Bulan Yüz"
"U+1F92E","🤮","Face Vomiting","Yüz Kusma"
"U+1F927","🤧","Sneezing Face","Hapşıran Yüz"
"U+1F975","🥵","Hot Face","Sıcak Yüz"
"U+1F976","🥶","Cold Face","Soğuk Yüz"
"U+1F974","🥴","Woozy Face","Sersem Yüz"
"U+1F635","😵","Face With Crossed-Out Eyes","Çapraz Gözlü Yüz"
"U+1F635 U+200D U+1F4AB","😵‍💫","Face With Spiral Eyes","Sarmal Gözlü Yüz"
"U+1F92F","🤯","Exploding Head","Patlayan Kafa"
"U+1F920","🤠","Cowboy Hat Face","Kovboy Şapkası Yüzü"
"U+1F973","🥳","Partying Face","Parti Yüzü"
"U+1F978","🥸","Disguised Face","Gizli Yüz"
"U+1F60E","😎","Smiling Face With Sunglasses","Güneş Gözlüğü ile Gülen Yüz"
"U+1F913","🤓","Nerd Face","İnek Yüzü"
"U+1F9D0","🧐","Face With Monocle","Tek Gözlü Yüz"
"U+1F615","😕","Confused Face","Şaşkın Yüz"
"U+1FAE4","🫤","Face With Diagonal Mouth","Çapraz Ağızlı Yüz"
"U+1F61F","😟","Worried Face","Endişeli Yüz"
"U+1F641","🙁","Slightly Frowning Face","Hafifçe kaşlarını çatan yüz"
"U+2639 U+FE0F","☹️","Frowning Face","Kaşlarını çatan yüz"
"U+1F62E","😮","Face With Open Mouth","Ağzı Açık Yüz"
"U+1F62F","😯","Hushed Face","Sessiz Yüz"
"U+1F632","😲","Astonished Face","Şaşkın Yüz"
"U+1F633","😳","Flushed Face","Kızarık surat"
"U+1F97A","🥺","Pleading Face","Yalvaran Yüz"
"U+1F979","🥹","Face Holding Back Tears","Gözyaşlarını Tutan Yüz"
"U+1F626","😦","Frowning Face With Open Mouth","Açık ağızlı çatık surat"
"U+1F627","😧","Anguished Face","Acılı Yüz"
"U+1F628","😨","Fearful Face","Korkulu Yüz"
"U+1F630","😰","Anxious Face With Sweat","Terli endişeli yüz"
"U+1F625","😥","Sad But Relieved Face","Üzgün Ama Rahatlamış Yüz"
"U+1F622","😢","Crying Face","Ağlayan Yüz"
"U+1F62D","😭","Loudly Crying Face","Yüksek sesle ağlayan yüz"
"U+1F631","😱","Face Screaming In Fear","Korkuyla Çığlık atan Yüz"
"U+1F616","😖","Confounded Face","Şaşkın Yüz"
"U+1F623","😣","Persevering Face","Azimli Yüz"
"U+1F61E","😞","Disappointed Face","Hayal Kırıklığına Uğramış Yüz"
"U+1F613","😓","Downcast Face With Sweat","Terli Mahzun Yüz"
"U+1F629","😩","Weary Face","Yorgun Yüz"
"U+1F62B","😫","Tired Face","Yorgun yüz"
"U+1F971","🥱","Yawning Face","Esneyen Yüz"
"U+1F624","😤","Face With Steam From Nose","Burundan Gelen Buharla Yüz"
"U+1F621","😡","Enraged Face","Öfkeli Yüz"
"U+1F620","😠","Angry Face","Kızgın surat"
"U+1F92C","🤬","Face With Symbols On Mouth","Ağzında Sembollerle Yüz"
"U+1F608","😈","Smiling Face With Horns","Boynuzlu Gülen Yüz"
"U+1F47F","👿","Angry Face With Horns","Boynuzlu Kızgın Yüz"
"U+1F480","💀","Skull","Kafatası"
"U+2620 U+FE0F","☠️","Skull And Crossbones","Kurukafa ve kırık kemikler"
"U+1F4A9","💩","Pile Of Poo","Kaka yığını"
"U+1F921","🤡","Clown Face","Palyaço Yüzü"
"U+1F479","👹","Ogre","Canavar"
"U+1F47A","👺","Goblin","Cin"
"U+1F47B","👻","Ghost","Hayalet"
"U+1F47D","👽","Alien","Yabancı"
"U+1F47E","👾","Alien Monster","Uzaylı Canavar"
"U+1F916","🤖","Robot","Robot"
"U+1F63A","😺","Grinning Cat","Sırıtan kedi"
"U+1F638","😸","Grinning Cat With Smiling Eyes","Gülümseyen Gözlerle Sırıtan Kedi"
"U+1F639","😹","Cat With Tears Of Joy","Sevinç gözyaşları döken kedi"
"U+1F63B","😻","Smiling Cat With Heart-Eyes","Kalp Gözlü Gülümseyen Kedi"
"U+1F63C","😼","Cat With Wry Smile","Alaycı Gülümseyen Kedi"
"U+1F63D","😽","Kissing Cat","kedi öpüşme"
"U+1F640","🙀","Weary Cat","Yorgun Kedi"
"U+1F63F","😿","Crying Cat","Ağlayan kedi"
"U+1F63E","😾","Pouting Cat","somurtan kedi"
"U+1F648","🙈","See-No-Evil Monkey","Kötülüğü Görmeyen Maymun"
"U+1F649","🙉","Hear-No-Evil Monkey","Kötülüğü Duymayan Maymun"
"U+1F64A","🙊","Speak-No-Evil Monkey","Kötü Konuşmayan Maymun"
"U+1F48C","💌","Love Letter","Aşk mektubu"
"U+1F498","💘","Heart With Arrow","Oklu Kalp"
"U+1F49D","💝","Heart With Ribbon","Kurdeleli Kalp"
"U+1F496","💖","Sparkling Heart","Parlayan Kalp"
"U+1F497","💗","Growing Heart","Büyüyen Kalp"
"U+1F493","💓","Beating Heart","Çarpan kalp"
"U+1F49E","💞","Revolving Hearts","Dönen Kalpler"
"U+1F495","💕","Two Hearts","İki kalp"
"U+1F49F","💟","Heart Decoration","Kalp Dekorasyonu"
"U+2763 U+FE0F","❣️","Heart Exclamation","Kalp Ünlemi"
"U+1F494","💔","Broken Heart","Kırık kalp"
"U+2764 U+FE0F U+200D U+1F525","❤️‍🔥","Heart On Fire","Ateşli Kalp"
"U+2764 U+FE0F U+200D U+1FA79","❤️‍🩹","Mending Heart","Onarılan Kalp"
"U+2764 U+FE0F","❤️","Red Heart","Kırmızı kalp"
"U+1FA77","🩷","Pink Heart","Pembe Kalp"
"U+1F9E1","🧡","Orange Heart","Turuncu Kalp"
"U+1F49B","💛","Yellow Heart","Sarı Kalp"
"U+1F49A","💚","Green Heart","Yeşil kalp"
"U+1F499","💙","Blue Heart","Mavi kalp"
"U+1FA75","🩵","Light Blue Heart","Açık Mavi Kalp"
"U+1F49C","💜","Purple Heart","Mor Kalp"
"U+1F90E","🤎","Brown Heart","Kahverengi Kalp"
"U+1F5A4","🖤","Black Heart","Kara Yürek"
"U+1FA76","🩶","Grey Heart","Gri Kalp"
"U+1F90D","🤍","White Heart","Beyaz Kalp"
"U+1F48B","💋","Kiss Mark","Öpücük izi"
"U+1F4AF","💯","Hundred Points","Yüz Puan"
"U+1F4A2","💢","Anger Symbol","Öfke Sembolü"
"U+1F4A5","💥","Collision","Çarpışma"
"U+1F4AB","💫","Dizzy","Başı dönmek"
"U+1F4A6","💦","Sweat Droplets","Ter Damlacıkları"
"U+1F4A8","💨","Dashing Away","Uzaklaşıp Gitmek"
"U+1F573 U+FE0F","🕳️","Hole","Delik"
"U+1F4AC","💬","Speech Balloon","Konuşma balonu"
"U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F","👁️‍🗨️","Eye In Speech Bubble","Konuşma Balonunda Göz"
"U+1F5E8 U+FE0F","🗨️","Left Speech Bubble","Sol Konuşma Balonu"
"U+1F5EF U+FE0F","🗯️","Right Anger Bubble","Sağ Öfke Balonu"
"U+1F4AD","💭","Thought Balloon","Düşünce Balonu"
"U+1F4A4","💤","Zzz","Zzz"
"U+1F44B","👋","Waving Hand","El sallayarak"
"U+1F91A","🤚","Raised Back Of Hand","Elin Arkasını Kaldırdı"
"U+1F590 U+FE0F","🖐️","Hand With Fingers Splayed","Parmaklar Açık El"
"U+270B","✋","Raised Hand","Kaldırılmış El"
"U+1F596","🖖","Vulcan Salute","Vulkan Selamı"
"U+1FAF1","🫱","Rightwards Hand","Sağ El"
"U+1FAF2","🫲","Leftwards Hand","Sola Doğru El"
"U+1FAF3","🫳","Palm Down Hand","Avuç içi Aşağı El"
"U+1FAF4","🫴","Palm Up Hand","Avuç içi Yukarı El"
"U+1FAF7","🫷","Leftwards Pushing Hand","Sola İten El"
"U+1FAF8","🫸","Rightwards Pushing Hand","Sağa Doğru İten El"
"U+1F44C","👌","OK Hand","Tamam El"
"U+1F90C","🤌","Pinched Fingers","Kıstırılmış Parmaklar"
"U+1F90F","🤏","Pinching Hand","Kıstırma El"
"U+270C U+FE0F","✌️","Victory Hand","Zafer Eli"
"U+1F91E","🤞","Crossed Fingers","Çapraz Parmaklar"
"U+1FAF0","🫰","Hand With Index Finger And Thumb Crossed","İşaret Parmağı ve Başparmağı Çapraz Olan El"
"U+1F91F","🤟","Love-You Gesture","Seni Seviyorum Hareketi"
"U+1F918","🤘","Sign Of The Horns","Boynuzların İşareti"
"U+1F919","🤙","Call Me Hand","Beni Ara El"
"U+1F448","👈","Backhand Index Pointing Left","Arka El İndeksi Solu Gösteriyor"
"U+1F449","👉","Backhand Index Pointing Right","Ters El İşareti Sağa İşaret Ediyor"
"U+1F446","👆","Backhand Index Pointing Up","Arka El İndeksi Yukarıyı Gösteriyor"
"U+1F595","🖕","Middle Finger","Orta parmak"
"U+1F447","👇","Backhand Index Pointing Down","Ters El İşareti Aşağıyı Gösteriyor"
"U+261D U+FE0F","☝️","Index Pointing Up","Yukarıyı Gösteren İndeks"
"U+1FAF5","🫵","Index Pointing At The Viewer","İzleyiciyi İşaret Eden Dizin"
"U+1F44D","👍","Thumbs Up","Başparmak havaya"
"U+1F44E","👎","Thumbs Down","Beğenilmedi"
"U+270A","✊","Raised Fist","Yükseltilmiş Yumruk"
"U+1F44A","👊","Oncoming Fist","Yaklaşan Yumruk"
"U+1F91B","🤛","Left-Facing Fist","Sola Bakan Yumruk"
"U+1F91C","🤜","Right-Facing Fist","Sağa Bakan Yumruk"
"U+1F44F","👏","Clapping Hands","Elleri çırpmak"
"U+1F64C","🙌","Raising Hands","Elleri Kaldırmak"
"U+1FAF6","🫶","Heart Hands","Kalp Elleri"
"U+1F450","👐","Open Hands","Açık Eller"
"U+1F932","🤲","Palms Up Together","Avuç içi birlikte"
"U+1F91D","🤝","Handshake","Tokalaşma"
"U+1F64F","🙏","Folded Hands","Katlanmış Eller"
"U+270D U+FE0F","✍️","Writing Hand","El Yazma"
"U+1F485","💅","Nail Polish","Tırnak cilası"
"U+1F933","🤳","Selfie","Özçekim"
"U+1F4AA","💪","Flexed Biceps","Esnek Biceps"
"U+1F9BE","🦾","Mechanical Arm","Mekanik Kol"
"U+1F9BF","🦿","Mechanical Leg","Mekanik Ayak"
"U+1F9B5","🦵","Leg","Bacak"
"U+1F9B6","🦶","Foot","Ayak"
"U+1F442","👂","Ear","Kulak"
"U+1F9BB","🦻","Ear With Hearing Aid","İşitme Cihazlı Kulak"
"U+1F443","👃","Nose","Burun"
"U+1F9E0","🧠","Brain","Beyin"
"U+1FAC0","🫀","Anatomical Heart","Anatomik Kalp"
"U+1FAC1","🫁","Lungs","Akciğerler"
"U+1F9B7","🦷","Tooth","Diş"
"U+1F9B4","🦴","Bone","Kemik"
"U+1F440","👀","Eyes","Gözler"
"U+1F441 U+FE0F","👁️","Eye","Göz"
"U+1F445","👅","Tongue","Dil"
"U+1F444","👄","Mouth","Ağız"
"U+1FAE6","🫦","Biting Lip","Dudak ısırma"
"U+1F476","👶","Baby","Bebek"
"U+1F9D2","🧒","Child","Çocuk"
"U+1F466","👦","Boy","Erkek çocuk"
"U+1F467","👧","Girl","Kız"
"U+1F9D1","🧑","Person","Kişi"
"U+1F471","👱","Person: Blond Hair","Kişi: Sarı Saçlı"
"U+1F468","👨","Man","Adam"
"U+1F9D4","🧔","Person: Beard","Kişi: Sakal"
"U+1F9D4 U+200D U+2642 U+FE0F","🧔‍♂️","Man: Beard","Adam: Sakal"
"U+1F9D4 U+200D U+2640 U+FE0F","🧔‍♀️","Woman: Beard","Kadın: Sakal"
"U+1F468 U+200D U+1F9B0","👨‍🦰","Man: Red Hair","Adam: Kızıl Saçlı"
"U+1F468 U+200D U+1F9B1","👨‍🦱","Man: Curly Hair","Adam: Kıvırcık Saç"
"U+1F468 U+200D U+1F9B3","👨‍🦳","Man: White Hair","Adam: Beyaz Saç"
"U+1F468 U+200D U+1F9B2","👨‍🦲","Man: Bald","Adam: Yakında"
"U+1F469","👩","Woman","Kadın"
"U+1F469 U+200D U+1F9B0","👩‍🦰","Woman: Red Hair","Kadın: Kızıl Saç"
"U+1F9D1 U+200D U+1F9B0","🧑‍🦰","Person: Red Hair","Kişi: Kızıl Saç"
"U+1F469 U+200D U+1F9B1","👩‍🦱","Woman: Curly Hair","Kadın: Kıvırcık Saç"
"U+1F9D1 U+200D U+1F9B1","🧑‍🦱","Person: Curly Hair","Kişi: Kıvırcık Saç"
"U+1F469 U+200D U+1F9B3","👩‍🦳","Woman: White Hair","Kadın: Beyaz Saç"
"U+1F9D1 U+200D U+1F9B3","🧑‍🦳","Person: White Hair","Kişi: Beyaz Saç"
"U+1F469 U+200D U+1F9B2","👩‍🦲","Woman: Bald","Kadın: Kel"
"U+1F9D1 U+200D U+1F9B2","🧑‍🦲","Person: Bald","Kişi: Kel"
"U+1F471 U+200D U+2640 U+FE0F","👱‍♀️","Woman: Blond Hair","Kadın: Sarı Saçlı"
"U+1F471 U+200D U+2642 U+FE0F","👱‍♂️","Man: Blond Hair","Adam: Sarı Saçlı"
"U+1F9D3","🧓","Older Person","Yaşlı adam"
"U+1F474","👴","Old Man","Yaşlı adam"
"U+1F475","👵","Old Woman","Yaşlı kadın"
"U+1F64D","🙍","Person Frowning","Kişi kaşlarını çattı"
"U+1F64D U+200D U+2642 U+FE0F","🙍‍♂️","Man Frowning","Adam kaşlarını çattı"
"U+1F64D U+200D U+2640 U+FE0F","🙍‍♀️","Woman Frowning","Kadın kaşlarını çattı"
"U+1F64E","🙎","Person Pouting","Surat asan kişi"
"U+1F64E U+200D U+2642 U+FE0F","🙎‍♂️","Man Pouting","Adam somurtarak"
"U+1F64E U+200D U+2640 U+FE0F","🙎‍♀️","Woman Pouting","Kadın surat asıyor"
"U+1F645","🙅","Person Gesturing No","Hayır Hareketi Yapan Kişi"
"U+1F645 U+200D U+2642 U+FE0F","🙅‍♂️","Man Gesturing No","Hayır işareti yapan adam"
"U+1F645 U+200D U+2640 U+FE0F","🙅‍♀️","Woman Gesturing No","Hayır işareti yapan kadın"
"U+1F646","🙆","Person Gesturing Ok","Tamam hareketi yapan kişi"
"U+1F646 U+200D U+2642 U+FE0F","🙆‍♂️","Man Gesturing Ok","Tamam hareketi yapan adam"
"U+1F646 U+200D U+2640 U+FE0F","🙆‍♀️","Woman Gesturing Ok","Tamam el hareketi yapan kadın"
"U+1F481","💁","Person Tipping Hand","El Devrilen Kişi"
"U+1F481 U+200D U+2642 U+FE0F","💁‍♂️","Man Tipping Hand","Adam Elini Devriyor"
"U+1F481 U+200D U+2640 U+FE0F","💁‍♀️","Woman Tipping Hand","Kadın Elini Devriyor"
"U+1F64B","🙋","Person Raising Hand","El Kaldıran Kişi"
"U+1F64B U+200D U+2642 U+FE0F","🙋‍♂️","Man Raising Hand","Adam elini kaldırıyor"
"U+1F64B U+200D U+2640 U+FE0F","🙋‍♀️","Woman Raising Hand","Elini Kaldıran Kadın"
"U+1F9CF","🧏","Deaf Person","Sağır kişi"
"U+1F9CF U+200D U+2642 U+FE0F","🧏‍♂️","Deaf Man","Sağır Adam"
"U+1F9CF U+200D U+2640 U+FE0F","🧏‍♀️","Deaf Woman","Sağır Kadın"
"U+1F647","🙇","Person Bowing","Kişi eğilerek"
"U+1F647 U+200D U+2642 U+FE0F","🙇‍♂️","Man Bowing","Adam eğilerek"
"U+1F647 U+200D U+2640 U+FE0F","🙇‍♀️","Woman Bowing","Kadın eğilerek"
"U+1F926","🤦","Person Facepalming","Yüzünü kapatan kişi"
"U+1F926 U+200D U+2642 U+FE0F","🤦‍♂️","Man Facepalming","Yüzünü kapatan adam"
"U+1F926 U+200D U+2640 U+FE0F","🤦‍♀️","Woman Facepalming","Yüzünü kapatan kadın"
"U+1F937","🤷","Person Shrugging","Kişi omuz silkiyor"
"U+1F937 U+200D U+2642 U+FE0F","🤷‍♂️","Man Shrugging","Adam omuz silkiyor"
"U+1F937 U+200D U+2640 U+FE0F","🤷‍♀️","Woman Shrugging","Kadın omuz silkiyor"
"U+1F9D1 U+200D U+2695 U+FE0F","🧑‍⚕️","Health Worker","Sağlık çalışanı"
"U+1F468 U+200D U+2695 U+FE0F","👨‍⚕️","Man Health Worker","Erkek Sağlık Çalışanı"
"U+1F469 U+200D U+2695 U+FE0F","👩‍⚕️","Woman Health Worker","Kadın Sağlık Çalışanı"
"U+1F9D1 U+200D U+1F393","🧑‍🎓","Student","Öğrenci"
"U+1F468 U+200D U+1F393","👨‍🎓","Man Student","Erkek Öğrenci"
"U+1F469 U+200D U+1F393","👩‍🎓","Woman Student","Kadın Öğrenci"
"U+1F9D1 U+200D U+1F3EB","🧑‍🏫","Teacher","Öğretmen"
"U+1F468 U+200D U+1F3EB","👨‍🏫","Man Teacher","Erkek Öğretmen"
"U+1F469 U+200D U+1F3EB","👩‍🏫","Woman Teacher","Kadın Öğretmen"
"U+1F9D1 U+200D U+2696 U+FE0F","🧑‍⚖️","Judge","Yargıç"
"U+1F468 U+200D U+2696 U+FE0F","👨‍⚖️","Man Judge","Adam Hakim"
"U+1F469 U+200D U+2696 U+FE0F","👩‍⚖️","Woman Judge","Kadın Hakim"
"U+1F9D1 U+200D U+1F33E","🧑‍🌾","Farmer","Çiftçi"
"U+1F468 U+200D U+1F33E","👨‍🌾","Man Farmer","Adam Çiftçi"
"U+1F469 U+200D U+1F33E","👩‍🌾","Woman Farmer","Kadın Çiftçi"
"U+1F9D1 U+200D U+1F373","🧑‍🍳","Cook","Aşçı"
"U+1F468 U+200D U+1F373","👨‍🍳","Man Cook","Adam Aşçı"
"U+1F469 U+200D U+1F373","👩‍🍳","Woman Cook","Kadın Aşçı"
"U+1F9D1 U+200D U+1F527","🧑‍🔧","Mechanic","Tamirci"
"U+1F468 U+200D U+1F527","👨‍🔧","Man Mechanic","Adam tamirci"
"U+1F469 U+200D U+1F527","👩‍🔧","Woman Mechanic","Kadın Tamirci"
"U+1F9D1 U+200D U+1F3ED","🧑‍🏭","Factory Worker","Fabrika işçisi"
"U+1F468 U+200D U+1F3ED","👨‍🏭","Man Factory Worker","Adam Fabrika İşçisi"
"U+1F469 U+200D U+1F3ED","👩‍🏭","Woman Factory Worker","Kadın Fabrika İşçisi"
"U+1F9D1 U+200D U+1F4BC","🧑‍💼","Office Worker","Ofis çalışanı"
"U+1F468 U+200D U+1F4BC","👨‍💼","Man Office Worker","Adam ofis çalışanı"
"U+1F469 U+200D U+1F4BC","👩‍💼","Woman Office Worker","Kadın Ofis Çalışanı"
"U+1F9D1 U+200D U+1F52C","🧑‍🔬","Scientist","Bilim adamı"
"U+1F468 U+200D U+1F52C","👨‍🔬","Man Scientist","Erkek Bilim Adamı"
"U+1F469 U+200D U+1F52C","👩‍🔬","Woman Scientist","Kadın Bilim Adamı"
"U+1F9D1 U+200D U+1F4BB","🧑‍💻","Technologist","Teknoloji uzmanı"
"U+1F468 U+200D U+1F4BB","👨‍💻","Man Technologist","Adam Teknoloji Uzmanı"
"U+1F469 U+200D U+1F4BB","👩‍💻","Woman Technologist","Kadın Teknoloji Uzmanı"
"U+1F9D1 U+200D U+1F3A4","🧑‍🎤","Singer","Şarkıcı"
"U+1F468 U+200D U+1F3A4","👨‍🎤","Man Singer","Erkek Şarkıcı"
"U+1F469 U+200D U+1F3A4","👩‍🎤","Woman Singer","Kadın Şarkıcı"
"U+1F9D1 U+200D U+1F3A8","🧑‍🎨","Artist","Sanatçı"
"U+1F468 U+200D U+1F3A8","👨‍🎨","Man Artist","Erkek Sanatçı"
"U+1F469 U+200D U+1F3A8","👩‍🎨","Woman Artist","Kadın Sanatçı"
"U+1F9D1 U+200D U+2708 U+FE0F","🧑‍✈️","Pilot","Pilot"
"U+1F468 U+200D U+2708 U+FE0F","👨‍✈️","Man Pilot","Adam Pilot"
"U+1F469 U+200D U+2708 U+FE0F","👩‍✈️","Woman Pilot","Kadın Pilot"
"U+1F9D1 U+200D U+1F680","🧑‍🚀","Astronaut","Astronot"
"U+1F468 U+200D U+1F680","👨‍🚀","Man Astronaut","Adam Astronot"
"U+1F469 U+200D U+1F680","👩‍🚀","Woman Astronaut","Kadın Astronot"
"U+1F9D1 U+200D U+1F692","🧑‍🚒","Firefighter","İtfaiyeci"
"U+1F468 U+200D U+1F692","👨‍🚒","Man Firefighter","Adam itfaiyeci"
"U+1F469 U+200D U+1F692","👩‍🚒","Woman Firefighter","Kadın İtfaiyeci"
"U+1F46E","👮","Police Officer","Polis memuru"
"U+1F46E U+200D U+2642 U+FE0F","👮‍♂️","Man Police Officer","Adam Polis Memuru"
"U+1F46E U+200D U+2640 U+FE0F","👮‍♀️","Woman Police Officer","Kadın Polis Memuru"
"U+1F575 U+FE0F","🕵️","Detective","Dedektif"
"U+1F575 U+FE0F U+200D U+2642 U+FE0F","🕵️‍♂️","Man Detective","Adam Dedektif"
"U+1F575 U+FE0F U+200D U+2640 U+FE0F","🕵️‍♀️","Woman Detective","Kadın Dedektif"
"U+1F482","💂","Guard","Koruma"
"U+1F482 U+200D U+2642 U+FE0F","💂‍♂️","Man Guard","Adam Muhafız"
"U+1F482 U+200D U+2640 U+FE0F","💂‍♀️","Woman Guard","Kadın Muhafız"
"U+1F977","🥷","Ninja","Ninja"
"U+1F477","👷","Construction Worker","İnşaat işçisi"
"U+1F477 U+200D U+2642 U+FE0F","👷‍♂️","Man Construction Worker","Adam inşaat işçisi"
"U+1F477 U+200D U+2640 U+FE0F","👷‍♀️","Woman Construction Worker","Kadın İnşaat İşçisi"
"U+1FAC5","🫅","Person With Crown","Taçlı Kişi"
"U+1F934","🤴","Prince","Prens"
"U+1F478","👸","Princess","Prenses"
"U+1F473","👳","Person Wearing Turban","Türban Takan Kişi"
"U+1F473 U+200D U+2642 U+FE0F","👳‍♂️","Man Wearing Turban","Türban Takan Adam"
"U+1F473 U+200D U+2640 U+FE0F","👳‍♀️","Woman Wearing Turban","Türban Takan Kadın"
"U+1F472","👲","Person With Skullcap","Kafatası olan kişi"
"U+1F9D5","🧕","Woman With Headscarf","Başörtülü Kadın"
"U+1F935","🤵","Person In Tuxedo","Smokinli kişi"
"U+1F935 U+200D U+2642 U+FE0F","🤵‍♂️","Man In Tuxedo","Smokinli Adam"
"U+1F935 U+200D U+2640 U+FE0F","🤵‍♀️","Woman In Tuxedo","Smokinli Kadın"
"U+1F470","👰","Person With Veil","Peçeli Kişi"
"U+1F470 U+200D U+2642 U+FE0F","👰‍♂️","Man With Veil","Peçeli Adam"
"U+1F470 U+200D U+2640 U+FE0F","👰‍♀️","Woman With Veil","Peçeli Kadın"
"U+1F930","🤰","Pregnant Woman","Hamile kadın"
"U+1FAC3","🫃","Pregnant Man","Hamile adam"
"U+1FAC4","🫄","Pregnant Person","Hamile Kişi"
"U+1F931","🤱","Breast-Feeding","Emzirme"
"U+1F469 U+200D U+1F37C","👩‍🍼","Woman Feeding Baby","Bebek Besleyen Kadın"
"U+1F468 U+200D U+1F37C","👨‍🍼","Man Feeding Baby","Adam bebek besliyor"
"U+1F9D1 U+200D U+1F37C","🧑‍🍼","Person Feeding Baby","Bebek Besleyen Kişi"
"U+1F47C","👼","Baby Angel","Bebek melek"
"U+1F385","🎅","Santa Claus","Noel Baba"
"U+1F936","🤶","Mrs. Claus","Bayan Claus"
"U+1F9D1 U+200D U+1F384","🧑‍🎄","Mx Claus","Mx Baba"
"U+1F9B8","🦸","Superhero","Süper kahraman"
"U+1F9B8 U+200D U+2642 U+FE0F","🦸‍♂️","Man Superhero","Adam süper kahraman"
